cardId,cafeName,discountType,discountValue
1,투썸플레이스,r,1
2,투썸플레이스,r,5
3,투썸플레이스,r,4
4,투썸플레이스,r,10
5,투썸플레이스,r,5
6,투썸플레이스,r,5
7,투썸플레이스,r,10
8,투썸플레이스,r,1
9,투썸플레이스,r,10
10,투썸플레이스,p,2000
11,투썸플레이스,r,20
12,투썸플레이스,r,20
13,투썸플레이스,p,1000
14,투썸플레이스,r,20
15,투썸플레이스,r,10
16,이디야,r,20
17,이디야,r,5
2,이디야,r,5
18,이디야,r,1.5
5,이디야,r,5
19,이디야,r,15
20,이디야,r,1
21,이디야,r,1.5
8,이디야,r,1
22,이디야,p,500
13,이디야,p,1000
1,커피빈,r,1
2,커피빈,r,5
3,커피빈,r,4
4,커피빈,r,10
23,커피빈,r,20
24,커피빈,r,0.2
25,커피빈,r,0.2
26,커피빈,r,0.2
27,커피빈,r,20
7,커피빈,r,10
28,커피빈,r,20
9,커피빈,r,10
29,커피빈,r,10
30,커피빈,r,10
31,커피빈,r,20
32,커피빈,r,10
33,커피빈,r,10
34,커피빈,r,10
35,커피빈,r,10
13,커피빈,p,1000
36,커피빈,r,5
37,커피빈,r,10
38,커피빈,r,10
39,커피빈,r,5
4,탐앤탐스,r,10
9,탐앤탐스,r,10
30,탐앤탐스,r,10
33,탐앤탐스,r,10
13,탐앤탐스,p,1000
38,탐앤탐스,r,10
40,스타벅스,p,3000
41,스타벅스,p,2000
16,스타벅스,r,20
1,스타벅스,r,1
42,스타벅스,r,20
43,스타벅스,p,1000
44,스타벅스,p,1000
45,스타벅스,p,2000
46,스타벅스,r,20
17,스타벅스,r,5
2,스타벅스,r,5
3,스타벅스,r,4
47,스타벅스,p,1000
48,스타벅스,r,20
4,스타벅스,r,10
49,스타벅스,r,20
5,스타벅스,r,5
23,스타벅스,r,20
50,스타벅스,r,20
51,스타벅스,r,5
52,스타벅스,r,20
53,스타벅스,r,5
24,스타벅스,r,0.2
18,스타벅스,r,1.5
54,스타벅스,r,5
25,스타벅스,r,0.2
6,스타벅스,r,5
55,스타벅스,r,20
56,스타벅스,r,20
26,스타벅스,r,0.2
21,스타벅스,r,1.5
27,스타벅스,r,20
7,스타벅스,r,10
8,스타벅스,r,1
57,스타벅스,r,5
12,스타벅스,r,20
28,스타벅스,r,20
58,스타벅스,r,5
10,스타벅스,p,2000
9,스타벅스,r,10
29,스타벅스,r,10
30,스타벅스,r,10
59,스타벅스,p,2000
31,스타벅스,r,20
60,스타벅스,r,10
61,스타벅스,r,10
62,스타벅스,p,1000
32,스타벅스,r,10
63,스타벅스,r,20
33,스타벅스,r,10
64,스타벅스,r,20
65,스타벅스,r,20
66,스타벅스,r,10
67,스타벅스,r,20
68,스타벅스,r,5
35,스타벅스,r,10
36,스타벅스,r,5
11,스타벅스,r,20
69,스타벅스,r,20
13,스타벅스,p,1000
37,스타벅스,r,10
70,스타벅스,p,500
71,스타벅스,r,9
72,스타벅스,r,5
38,스타벅스,r,10
73,스타벅스,r,20
39,스타벅스,r,5
74,스타벅스,r,5
14,스타벅스,r,20
75,스타벅스,r,5
76,스타벅스,r,10
77,스타벅스,p,1000
78,스타벅스,p,1000
79,스타벅스,r,10
80,스타벅스,r,5
